#data counter
163611.111111 1
389166.666667 2
491083.333333 3
549861.111111 4
538194.444444 5
538676.470588 6
534843.750000 7
531250.000000 8
166785.714286 9
155769.230769 10
497352.941176 11
8888.888889 12
283125.000000 13
458072.916667 14
12954.545455 15
287840.909091 16
270000.000000 17
286071.428571 18
159204.545455 19
429960.937500 20
517321.428571 21
315173.611111 22
403583.333333 23
422777.777778 24
530357.142857 25
787763.157895 26
434926.470588 27
502960.526316 28
493973.214286 29
407333.333333 30
