#data counter step time
100 1 1555 73.0
75 2 1638 78.0
100 3 1674 79.0
500 4 1754 84.0
75 5 1824 87.0
75 6 1839 88.0
100 7 1916 94.0
50 8 1960 97.0
100 9 1961 97.0
75 10 2040 104.0
50 11 2063 106.0
75 12 2073 106.0
150 13 2084 107.0
500 14 2113 109.0
50 15 2122 110.0
150 16 2137 111.0
150 17 2138 111.0
100 18 2142 111.0
100 19 2164 112.0
100 20 2213 115.0
100 21 2216 115.0
100 22 2236 117.0
150 23 2243 118.0
100 24 2261 120.0
500 25 2290 122.0
100 26 2304 123.0
150 27 2309 123.0
50 28 2317 124.0
100 29 2336 125.0
75 30 2383 128.0
75 31 2406 130.0
100 32 2433 132.0
100 33 2461 133.0
100 34 2487 135.0
500 35 2513 137.0
100 36 2524 138.0
150 37 2526 138.0
75 38 2527 138.0
100 39 2544 139.0
100 40 2566 140.0
75 41 2570 140.0
100 42 2584 141.0
75 43 2586 141.0
75 44 2588 141.0
100 45 2596 141.0
100 46 2622 143.0
100 47 2626 143.0
75 48 2637 144.0
50 49 2646 144.0
100 50 2656 145.0
75 51 2660 145.0
150 52 2668 146.0
100 53 2670 147.0
75 54 2681 147.0
50 55 2694 148.0
100 56 2702 149.0
150 57 2709 149.0
100 58 2720 150.0
75 59 2750 153.0
500 60 2752 153.0
500 61 2753 153.0
100 62 2754 153.0
50 63 2758 153.0
50 64 2772 155.0
500 65 2783 156.0
500 66 2810 158.0
50 67 2822 160.0
150 68 2828 161.0
100 69 2829 161.0
100 70 2846 162.0
50 71 2849 162.0
100 72 2855 162.0
150 73 2883 167.0
500 74 2905 169.0
50 75 2908 169.0
150 76 2924 171.0
75 77 2933 172.0
100 78 2960 174.0
100 79 2974 175.0
100 80 2980 176.0
100 81 3000 178.0
100 82 3016 181.0
50 83 3029 182.0
100 84 3038 183.0
50 85 3049 184.0
150 86 3085 187.0
50 87 3103 188.0
75 88 3119 189.0
100 89 3152 191.0
75 90 3167 192.0
500 91 3175 192.0
75 92 3211 194.0
100 93 3219 194.0
150 94 3272 197.0
50 95 3330 201.0
100 96 3358 204.0
500 97 3381 208.0
100 98 3393 211.0
75 99 3398 212.0
150 100 3404 213.0
100 101 3410 214.0
500 102 3411 214.0
100 103 3423 215.0
100 104 3427 216.0
100 105 3432 217.0
500 106 3435 217.0
100 107 3443 219.0
150 108 3446 219.0
50 109 3456 220.0
500 110 3465 222.0
150 111 3479 226.0
75 112 3480 226.0
150 113 3486 227.0
500 114 3493 228.0
100 115 3498 230.0
100 116 3507 231.0
50 117 3508 231.0
100 118 3523 234.0
100 119 3530 235.0
100 120 3539 236.0
75 121 3547 237.0
100 122 3551 238.0
100 123 3558 240.0
500 124 3571 244.0
500 125 3573 245.0
75 126 3581 248.0
100 127 3590 250.0
75 128 3605 253.0
75 129 3618 258.0
100 130 3628 263.0
75 131 3631 265.0
50 132 3646 271.0
500 133 3654 276.0
500 134 3656 278.0
500 135 3658 278.0
50 136 3661 279.0
500 137 3679 285.0
500 138 3711 299.0
500 139 3718 305.0
100 140 3727 315.0
150 141 3732 317.0
75 142 3752 335.0
50 143 3769 347.0
50 144 3771 347.0
150 145 3780 354.0
150 146 3789 361.0
150 147 3798 374.0
100 148 3808 391.0
500 149 3812 408.0
100 150 3816 410.0
75 151 3829 440.0
150 152 3842 453.0
