#data counter step time
150 1 480 10.0
75 2 482 10.0
100 3 486 10.0
100 4 496 10.0
75 5 511 11.0
100 6 512 11.0
100 7 532 11.0
50 8 542 11.0
75 9 566 12.0
150 10 572 12.0
500 11 575 12.0
75 12 590 12.0
150 13 637 13.0
500 14 638 13.0
75 15 657 14.0
150 16 679 14.0
500 17 689 14.0
150 18 691 14.0
50 19 692 14.0
75 20 734 15.0
50 21 748 15.0
100 22 753 15.0
100 23 754 15.0
150 24 760 15.0
500 25 791 16.0
100 26 795 16.0
75 27 801 16.0
100 28 837 17.0
75 29 842 17.0
150 30 877 18.0
100 31 891 18.0
100 32 902 18.0
100 33 908 18.0
100 34 913 19.0
