#data counter
3870485.641892 1
3640589.843750 2
2830632.716049 3
4706758.982036 4
3512022.727273 5
3316544.117647 6
3591357.361963 7
3686678.685897 8
3818750.000000 9
3296919.354839 10
4038796.012270 11
3865955.882353 12
3735694.852941 13
3401839.843750 14
3899611.801242 15
3239423.076923 16
3385898.203593 17
4634370.967742 18
3978689.393939 19
2501668.074324 20
3067136.075949 21
3881119.631902 22
3663927.419355 23
4151484.375000 24
3574502.467105 25
3863109.756098 26
3013967.741935 27
3134459.677419 28
3549444.444444 29
2871274.834437 30
