#data counter
628092.105263 1
493083.333333 2
158888.888889 3
11833.333333 4
422750.000000 5
517773.437500 6
285572.916667 7
536944.444444 8
384423.076923 9
7500.000000 10
435500.000000 11
402321.428571 12
283161.764706 13
548437.500000 14
165000.000000 15
291083.333333 16
308500.000000 17
159519.230769 18
369090.909091 19
152500.000000 20
279642.857143 21
164642.857143 22
11730.769231 23
411442.307692 24
8750.000000 25
158593.750000 26
414411.764706 27
381923.076923 28
512148.437500 29
339375.000000 30
