#data counter
156562.500000 1
288035.714286 2
266250.000000 3
356704.545455 4
379833.333333 5
263472.222222 6
16000.000000 7
425223.214286 8
134296.875000 9
318875.000000 10
224270.833333 11
271210.937500 12
154090.909091 13
7500.000000 14
313035.714286 15
140892.857143 16
155113.636364 17
228750.000000 18
413080.357143 19
260568.181818 20
7000.000000 21
162980.769231 22
148068.181818 23
16057.692308 24
340000.000000 25
298750.000000 26
440454.545455 27
180173.611111 28
154090.909091 29
5937.500000 30
