#data counter
858863.636364 1
892500.000000 2
1081951.219512 3
1214878.048780 4
1056474.358974 5
1101128.048780 6
1153430.851064 7
870074.404762 8
1034984.375000 9
596081.081081 10
626678.571429 11
767060.810811 12
766611.111111 13
993250.000000 14
747734.375000 15
1100487.804878 16
844357.638889 17
1286377.551020 18
872916.666667 19
1028043.478261 20
632845.394737 21
879767.441860 22
1462117.346939 23
749069.767442 24
884361.413043 25
609318.181818 26
864276.315789 27
981371.951220 28
748106.060606 29
1213226.744186 30
