#data counter
3167245.222930 1
3422316.433566 2
3656600.506757 3
2961233.108108 4
4050633.561644 5
2993087.500000 6
3250611.888112 7
3634023.437500 8
3321245.888158 9
3056424.825175 10
4258899.371069 11
3666539.115646 12
2915620.659722 13
2622957.746479 14
3654456.335616 15
4000509.868421 16
3798758.169935 17
3687818.965517 18
2741301.020408 19
2066381.118881 20
3255676.751592 21
4072183.159722 22
3461120.535714 23
1936875.000000 24
3284931.034483 25
4245032.679739 26
3685107.615894 27
4088173.758865 28
4332704.326923 29
3130226.510067 30
