#data counter step time
150 1 1713 86.0
150 2 1793 94.0
150 3 1837 97.0
75 4 1950 106.0
50 5 2046 112.0
75 6 2082 114.0
100 7 2097 115.0
75 8 2101 115.0
50 9 2150 117.0
150 10 2172 119.0
150 11 2173 119.0
50 12 2301 127.0
500 13 2321 128.0
100 14 2376 131.0
150 15 2401 133.0
50 16 2403 133.0
75 17 2405 133.0
100 18 2412 134.0
150 19 2413 134.0
100 20 2414 134.0
100 21 2416 134.0
100 22 2421 134.0
50 23 2429 135.0
50 24 2453 137.0
75 25 2465 138.0
100 26 2471 138.0
500 27 2479 138.0
50 28 2489 140.0
75 29 2517 141.0
500 30 2553 143.0
100 31 2597 145.0
150 32 2603 145.0
100 33 2607 146.0
100 34 2613 146.0
50 35 2641 147.0
50 36 2648 148.0
100 37 2676 149.0
150 38 2677 149.0
50 39 2680 149.0
500 40 2681 149.0
100 41 2705 150.0
100 42 2715 151.0
100 43 2744 154.0
500 44 2754 155.0
50 45 2761 156.0
100 46 2788 159.0
100 47 2792 159.0
75 48 2806 161.0
75 49 2815 161.0
75 50 2822 162.0
150 51 2824 162.0
75 52 2835 163.0
75 53 2844 163.0
100 54 2849 164.0
100 55 2850 164.0
50 56 2868 165.0
50 57 2869 165.0
75 58 2878 166.0
500 59 2891 167.0
150 60 2895 167.0
500 61 2909 168.0
75 62 2919 169.0
500 63 2927 169.0
50 64 2950 171.0
100 65 2951 171.0
500 66 2982 173.0
50 67 3008 176.0
100 68 3027 178.0
100 69 3037 180.0
50 70 3041 180.0
100 71 3060 182.0
50 72 3072 184.0
500 73 3074 184.0
100 74 3079 184.0
100 75 3082 185.0
150 76 3086 185.0
500 77 3113 186.0
75 78 3118 186.0
500 79 3126 187.0
100 80 3134 188.0
75 81 3166 190.0
75 82 3169 190.0
75 83 3187 191.0
50 84 3198 192.0
150 85 3200 192.0
500 86 3220 193.0
500 87 3224 193.0
150 88 3247 195.0
100 89 3275 197.0
75 90 3281 197.0
50 91 3293 198.0
50 92 3295 198.0
100 93 3299 198.0
150 94 3305 198.0
150 95 3326 199.0
100 96 3359 201.0
150 97 3370 202.0
150 98 3371 202.0
75 99 3373 202.0
150 100 3387 203.0
75 101 3407 204.0
75 102 3409 204.0
150 103 3414 205.0
150 104 3426 207.0
150 105 3432 209.0
100 106 3442 211.0
50 107 3449 212.0
50 108 3450 213.0
50 109 3460 215.0
100 110 3461 215.0
75 111 3483 222.0
100 112 3487 223.0
500 113 3488 223.0
50 114 3494 224.0
150 115 3496 224.0
500 116 3499 225.0
50 117 3500 225.0
100 118 3518 227.0
150 119 3524 227.0
150 120 3525 228.0
150 121 3529 228.0
100 122 3535 230.0
100 123 3540 232.0
50 124 3543 232.0
100 125 3546 233.0
100 126 3547 233.0
150 127 3551 233.0
100 128 3556 234.0
75 129 3562 235.0
150 130 3567 235.0
150 131 3569 236.0
100 132 3572 237.0
75 133 3582 238.0
75 134 3589 243.0
50 135 3591 243.0
100 136 3596 246.0
150 137 3601 249.0
100 138 3602 249.0
100 139 3605 250.0
75 140 3610 252.0
50 141 3617 255.0
50 142 3622 258.0
50 143 3624 259.0
50 144 3625 259.0
500 145 3633 261.0
500 146 3638 262.0
150 147 3650 267.0
100 148 3656 273.0
500 149 3661 276.0
100 150 3669 286.0
150 151 3688 302.0
50 152 3697 311.0
50 153 3711 355.0
500 154 3718 389.0
75 155 3720 389.0
75 156 3730 427.0
500 157 3733 432.0
