#data counter step time
50 1 448 10.0
50 2 449 10.0
150 3 457 10.0
50 4 463 10.0
100 5 486 11.0
100 6 487 11.0
100 7 489 11.0
150 8 494 11.0
75 9 510 11.0
75 10 527 12.0
50 11 536 12.0
75 12 545 12.0
50 13 548 12.0
75 14 570 13.0
100 15 584 13.0
50 16 593 13.0
50 17 597 13.0
100 18 601 13.0
75 19 603 13.0
150 20 634 14.0
500 21 637 14.0
100 22 641 14.0
100 23 646 14.0
100 24 651 14.0
50 25 654 14.0
150 26 681 15.0
100 27 684 15.0
100 28 687 15.0
500 29 705 16.0
500 30 732 16.0
100 31 756 17.0
500 32 778 17.0
500 33 779 17.0
100 34 780 17.0
100 35 808 18.0
75 36 854 19.0
50 37 863 19.0
