#data counter
2250 1
1675 2
2700 3
2875 4
2275 5
2200 6
3250 7
1875 8
1925 9
1800 10
2400 11
1800 12
2525 13
3225 14
1625 15
1775 16
1525 17
3300 18
1800 19
1950 20
2400 21
2250 22
3275 23
2700 24
1625 25
1550 26
1075 27
1400 28
2350 29
2100 30
2375 31
1350 32
1600 33
1425 34
2800 35
4100 36
1250 37
1400 38
2275 39
1600 40
2775 41
1650 42
1025 43
700 44
1450 45
1950 46
1400 47
1375 48
2700 49
925 50
2250 51
1750 52
1550 53
1250 54
1775 55
1250 56
1675 57
1275 58
2625 59
1200 60
350 61
1650 62
2250 63
2850 64
1675 65
2025 66
2375 67
2800 68
2125 69
2475 70
3300 71
2400 72
2375 73
1700 74
1550 75
1200 76
1575 77
2250 78
1850 79
1400 80
425 81
2575 82
2075 83
2825 84
3300 85
1475 86
1800 87
1225 88
2550 89
1800 90
2975 91
2700 92
3050 93
1175 94
1775 95
1650 96
975 97
1475 98
2500 99
725 100
