#data counter
30 1
37 2
42 3
42 4
35 5
56 6
39 7
46 8
41 9
42 10
51 11
40 12
36 13
38 14
49 15
42 16
39 17
33 18
55 19
46 20
47 21
43 22
40 23
38 24
38 25
35 26
35 27
36 28
39 29
41 30
36 31
43 32
42 33
49 34
33 35
39 36
46 37
46 38
39 39
47 40
40 41
45 42
40 43
35 44
39 45
41 46
41 47
42 48
45 49
39 50
33 51
36 52
42 53
41 54
43 55
37 56
41 57
34 58
39 59
43 60
41 61
46 62
39 63
40 64
45 65
36 66
46 67
37 68
44 69
41 70
36 71
30 72
38 73
48 74
44 75
46 76
50 77
41 78
46 79
43 80
41 81
45 82
31 83
29 84
41 85
32 86
45 87
40 88
47 89
51 90
44 91
43 92
41 93
44 94
41 95
32 96
49 97
42 98
52 99
39 100
