#data counter step time
75 1 439 10.0
75 2 441 10.0
50 3 447 10.0
50 4 449 10.0
50 5 453 10.0
50 6 485 11.0
50 7 489 11.0
50 8 497 11.0
75 9 528 12.0
500 10 529 12.0
100 11 532 12.0
150 12 534 12.0
75 13 543 12.0
100 14 544 12.0
500 15 552 13.0
500 16 563 13.0
50 17 570 13.0
100 18 583 13.0
500 19 588 13.0
100 20 604 14.0
100 21 617 14.0
75 22 618 14.0
150 23 619 14.0
100 24 621 14.0
75 25 627 14.0
500 26 629 14.0
100 27 662 15.0
100 28 663 15.0
75 29 664 15.0
50 30 670 15.0
50 31 671 15.0
50 32 675 15.0
100 33 677 15.0
150 34 678 15.0
75 35 682 15.0
150 36 711 16.0
75 37 718 16.0
100 38 725 16.0
50 39 726 16.0
100 40 756 17.0
50 41 786 18.0
100 42 788 18.0
150 43 845 19.0
100 44 851 19.0
500 45 1011 23.0
