#data counter
148750.000000 1
154000.000000 2
418125.000000 3
310223.214286 4
424750.000000 5
388083.333333 6
157142.857143 7
257421.875000 8
145892.857143 9
7291.666667 10
287812.500000 11
16083.333333 12
3750.000000 13
157656.250000 14
391118.421053 15
13750.000000 16
496833.333333 17
233055.555556 18
15113.636364 19
441513.157895 20
479000.000000 21
288072.916667 22
129722.222222 23
280416.666667 24
342840.909091 25
275416.666667 26
230892.857143 27
168973.214286 28
489000.000000 29
392083.333333 30
274305.555556 31
4921.875000 32
168398.437500 33
9312.500000 34
148942.307692 35
514204.545455 36
569444.444444 37
9296.875000 38
408583.333333 39
175223.214286 40
546093.750000 41
15972.222222 42
649843.750000 43
281363.636364 44
145555.555556 45
153750.000000 46
281923.076923 47
154921.875000 48
14322.916667 49
144285.714286 50
396500.000000 51
296057.692308 52
634023.437500 53
426093.750000 54
287980.769231 55
151000.000000 56
150000.000000 57
170535.714286 58
354166.666667 59
168258.928571 60
161442.307692 61
439204.545455 62
412343.750000 63
159204.545455 64
16000.000000 65
19285.714286 66
319642.857143 67
309583.333333 68
365576.923077 69
143750.000000 70
545312.500000 71
162222.222222 72
298076.923077 73
284722.222222 74
156704.545455 75
182008.928571 76
430277.777778 77
514833.333333 78
297613.636364 79
298750.000000 80
399230.769231 81
377692.307692 82
176843.750000 83
347562.500000 84
238750.000000 85
5223.214286 86
268472.222222 87
12222.222222 88
476838.235294 89
9312.500000 90
571835.937500 91
421830.357143 92
159204.545455 93
279519.230769 94
179843.750000 95
293750.000000 96
401442.307692 97
356562.500000 98
8072.916667 99
289322.916667 100
