#data counter
15795.454545 1
9817.251462 2
35000.000000 3
46595.238095 4
31112.132353 5
18400.735294 6
27385.110294 7
14000.000000 8
35241.228070 9
26620.879121 10
37979.166667 11
13045.454545 12
25893.229167 13
18156.250000 14
919.117647 15
38333.333333 16
43284.090909 17
27681.818182 18
30755.494505 19
910.714286 20
32192.095588 21
21747.939560 22
31118.055556 23
31447.610294 24
25392.992424 25
12942.994505 26
26645.220588 27
7447.916667 28
26181.818182 29
21714.285714 30
19666.666667 31
1431.818182 32
41989.583333 33
35077.380952 34
41944.444444 35
19322.916667 36
22582.417582 37
15420.454545 38
21250.000000 39
28255.952381 40
39888.888889 41
24310.897436 42
34735.576923 43
19642.857143 44
26181.818182 45
20468.750000 46
29148.809524 47
27988.095238 48
25014.204545 49
13901.515152 50
22678.571429 51
14583.333333 52
26605.113636 53
31321.428571 54
30285.714286 55
21559.523810 56
36892.857143 57
27438.446970 58
23114.035088 59
22352.335165 60
31810.897436 61
37888.888889 62
26931.818182 63
11122.395833 64
36188.446970 65
21309.523810 66
11327.380952 67
14659.090909 68
19704.861111 69
11656.250000 70
19101.562500 71
41057.692308 72
1491.477273 73
41730.769231 74
23722.527473 75
25739.889706 76
745.192308 77
16965.460526 78
37324.561404 79
37083.333333 80
27477.272727 81
42784.090909 82
29505.952381 83
10434.895833 84
26681.818182 85
22460.526316 86
46034.722222 87
35647.467320 88
14214.743590 89
31636.029412 90
10818.014706 91
40372.395833 92
37375.000000 93
53333.333333 94
20781.250000 95
26060.606061 96
34288.194444 97
39147.727273 98
30196.428571 99
19989.583333 100
