#data counter step time
75 1 1841 81.0
50 2 1903 84.0
75 3 1981 88.0
75 4 2094 94.0
100 5 2095 94.0
50 6 2150 97.0
50 7 2214 100.0
75 8 2261 103.0
100 9 2298 106.0
500 10 2300 106.0
75 11 2308 107.0
50 12 2325 108.0
100 13 2329 108.0
75 14 2351 110.0
75 15 2352 110.0
500 16 2370 111.0
150 17 2378 112.0
75 18 2432 116.0
100 19 2471 118.0
75 20 2544 121.0
75 21 2550 121.0
50 22 2579 123.0
100 23 2593 123.0
75 24 2610 124.0
50 25 2627 125.0
500 26 2632 125.0
150 27 2671 127.0
150 28 2692 128.0
100 29 2694 128.0
100 30 2724 130.0
50 31 2742 131.0
100 32 2755 132.0
500 33 2770 133.0
75 34 2783 134.0
100 35 2784 134.0
75 36 2812 135.0
100 37 2819 136.0
100 38 2820 136.0
150 39 2825 136.0
500 40 2831 137.0
500 41 2838 137.0
150 42 2875 139.0
150 43 2876 139.0
50 44 2908 141.0
100 45 2915 142.0
100 46 2916 142.0
100 47 2926 143.0
100 48 2929 143.0
500 49 2970 147.0
75 50 2982 147.0
100 51 3003 149.0
500 52 3022 150.0
100 53 3028 150.0
75 54 3039 151.0
75 55 3046 152.0
50 56 3073 154.0
100 57 3088 155.0
50 58 3098 156.0
50 59 3099 156.0
500 60 3111 157.0
100 61 3117 157.0
75 62 3124 158.0
150 63 3150 160.0
150 64 3162 161.0
100 65 3163 161.0
100 66 3180 163.0
75 67 3188 163.0
75 68 3195 164.0
150 69 3202 164.0
75 70 3212 165.0
500 71 3214 165.0
50 72 3228 165.0
100 73 3250 167.0
500 74 3259 168.0
150 75 3266 169.0
75 76 3277 171.0
75 77 3279 171.0
500 78 3287 172.0
50 79 3289 172.0
75 80 3299 173.0
150 81 3302 173.0
75 82 3308 174.0
100 83 3320 175.0
75 84 3330 176.0
50 85 3345 178.0
75 86 3352 179.0
500 87 3353 179.0
50 88 3368 179.0
75 89 3387 181.0
50 90 3388 181.0
50 91 3421 182.0
100 92 3441 183.0
100 93 3450 183.0
100 94 3471 184.0
500 95 3484 185.0
500 96 3498 186.0
150 97 3504 186.0
75 98 3505 186.0
50 99 3517 187.0
100 100 3540 188.0
50 101 3612 191.0
100 102 3660 193.0
500 103 3670 193.0
50 104 3672 193.0
100 105 3678 193.0
150 106 3697 194.0
150 107 3713 195.0
500 108 3717 196.0
75 109 3719 196.0
100 110 3723 196.0
100 111 3725 196.0
100 112 3727 196.0
100 113 3731 197.0
150 114 3733 197.0
100 115 3734 197.0
150 116 3754 199.0
100 117 3761 201.0
100 118 3779 204.0
50 119 3782 204.0
75 120 3783 204.0
100 121 3794 205.0
100 122 3797 206.0
50 123 3808 208.0
75 124 3818 209.0
50 125 3822 209.0
100 126 3826 210.0
500 127 3844 213.0
75 128 3849 214.0
100 129 3867 219.0
150 130 3875 221.0
75 131 3879 222.0
150 132 3891 227.0
100 133 3903 228.0
75 134 3920 231.0
500 135 3924 232.0
100 136 3927 233.0
50 137 3934 234.0
100 138 3937 235.0
150 139 3938 235.0
100 140 3944 236.0
500 141 3959 239.0
500 142 3968 243.0
500 143 3990 249.0
100 144 3999 250.0
100 145 4014 256.0
500 146 4020 259.0
75 147 4025 260.0
150 148 4032 263.0
100 149 4042 266.0
500 150 4044 267.0
150 151 4054 273.0
100 152 4056 274.0
50 153 4060 275.0
50 154 4065 276.0
50 155 4072 278.0
75 156 4076 279.0
100 157 4091 285.0
500 158 4095 288.0
500 159 4108 298.0
100 160 4122 302.0
150 161 4126 306.0
150 162 4128 306.0
150 163 4130 308.0
150 164 4138 310.0
75 165 4168 339.0
500 166 4172 347.0
150 167 4182 359.0
150 168 4183 360.0
100 169 4194 377.0
75 170 4195 378.0
50 171 4199 383.0
50 172 4202 397.0
150 173 4206 412.0
50 174 4211 477.0
