#data counter
50 1
75 2
50 3
100 4
50 5
50 6
50 7
50 8
50 9
100 10
50 11
50 12
75 13
75 14
75 15
75 16
75 17
50 18
50 19
75 20
50 21
50 22
50 23
100 24
75 25
50 26
50 27
50 28
50 29
50 30
50 31
75 32
150 33
50 34
50 35
50 36
50 37
100 38
50 39
50 40
50 41
50 42
50 43
75 44
50 45
50 46
50 47
100 48
50 49
50 50
50 51
50 52
100 53
75 54
50 55
100 56
50 57
100 58
100 59
100 60
100 61
50 62
50 63
75 64
75 65
50 66
100 67
50 68
50 69
50 70
50 71
75 72
50 73
50 74
50 75
50 76
75 77
50 78
50 79
75 80
100 81
75 82
50 83
50 84
50 85
50 86
50 87
50 88
75 89
50 90
50 91
50 92
50 93
50 94
50 95
50 96
75 97
50 98
75 99
50 100
