#data counter
22263.030985 1
22073.387678 2
21069.214256 3
22426.398712 4
19687.460325 5
20572.675912 6
29113.793103 7
19659.449787 8
21370.297252 9
26633.379888 10
21843.586741 11
25865.736704 12
24111.077111 13
19792.775041 14
22748.138161 15
18711.740558 16
26850.134409 17
24426.604816 18
20784.547654 19
26477.833587 20
26206.376611 21
19091.505548 22
24555.164096 23
21899.398944 24
23991.912972 25
25605.002732 26
23905.600350 27
25710.531656 28
23945.419222 29
26591.653784 30
26265.564123 31
27240.139656 32
27630.741775 33
22977.195946 34
23888.113123 35
26919.135647 36
20554.017399 37
26202.616636 38
25186.691761 39
22724.162011 40
26592.996407 41
18350.707820 42
22476.608402 43
23290.103795 44
17866.781009 45
20377.747253 46
23353.713474 47
22816.625616 48
25130.848092 49
20223.894543 50
20739.278377 51
29471.039169 52
26577.137732 53
23463.900528 54
24333.610571 55
25897.614776 56
23314.840393 57
26095.128706 58
25037.906691 59
24264.762045 60
19428.144639 61
27359.078069 62
26269.376026 63
24197.005838 64
21281.814450 65
24062.321463 66
24199.425418 67
22578.869680 68
28350.772036 69
27270.720981 70
20038.724208 71
24873.945116 72
25718.920765 73
24715.105337 74
22794.943820 75
23717.768660 76
25083.064764 77
30838.429314 78
23229.395518 79
24648.723619 80
22070.468566 81
20285.044912 82
24955.383373 83
21988.254470 84
22054.993017 85
28778.430018 86
21373.626374 87
24421.151439 88
25583.845961 89
24443.456134 90
22770.812808 91
24990.101289 92
23223.743470 93
18805.198951 94
25706.503178 95
16225.550208 96
20956.559771 97
27110.083023 98
28610.935664 99
21734.487888 100
