#data counter
238.888889 1
118.181818 2
172.500000 3
172.500000 4
127.272727 5
240.277778 6
167.045455 7
226.785714 8
112.500000 9
177.777778 10
104.761905 11
146.875000 12
185.714286 13
215.789474 14
208.823529 15
130.000000 16
208.928571 17
188.235294 18
171.052632 19
108.333333 20
209.090909 21
125.000000 22
161.363636 23
243.000000 24
120.000000 25
137.500000 26
268.333333 27
196.666667 28
262.500000 29
177.500000 30
200.000000 31
85.294118 32
170.312500 33
92.857143 34
148.529412 35
203.571429 36
175.000000 37
145.000000 38
279.166667 39
216.666667 40
186.538462 41
326.785714 42
146.428571 43
89.705882 44
176.785714 45
138.461538 46
148.529412 47
240.909091 48
137.500000 49
90.000000 50
125.000000 51
208.333333 52
113.888889 53
176.136364 54
200.000000 55
118.750000 56
89.285714 57
141.176471 58
136.111111 59
117.857143 60
93.750000 61
156.250000 62
150.000000 63
197.727273 64
207.692308 65
202.272727 66
186.764706 67
145.000000 68
168.750000 69
263.333333 70
185.714286 71
232.352941 72
195.312500 73
160.714286 74
118.181818 75
155.357143 76
156.818182 77
167.045455 78
147.222222 79
134.375000 80
189.285714 81
130.434783 82
228.846154 83
189.062500 84
125.000000 85
169.117647 86
163.636364 87
167.857143 88
160.714286 89
201.315789 90
195.833333 91
215.000000 92
183.333333 93
163.461538 94
147.916667 95
110.294118 96
118.750000 97
172.500000 98
209.210526 99
176.785714 100
