#data counter
153.750000 1
143.055556 2
167.597765 3
152.698864 4
165.300546 5
164.525140 6
174.309392 7
150.270270 8
159.861111 9
155.737705 10
163.342697 11
167.255435 12
149.583333 13
161.202186 14
149.728261 15
176.336898 16
168.922652 17
162.021858 18
168.614130 19
152.653631 20
154.787234 21
168.378378 22
170.545977 23
152.393617 24
174.293785 25
162.637363 26
158.563536 27
154.054054 28
166.891892 29
171.331522 30
187.771739 31
144.220430 32
166.384181 33
191.443850 34
182.027027 35
154.888268 36
168.888889 37
190.027322 38
154.054054 39
159.289617 40
152.142857 41
173.333333 42
182.923497 43
153.108108 44
153.954802 45
156.818182 46
155.790960 47
165.760870 48
155.080214 49
145.945946 50
164.571429 51
152.822581 52
157.596685 53
153.378378 54
160.080645 55
164.226519 56
151.388889 57
166.356383 58
170.516304 59
166.101695 60
167.428571 61
159.916201 62
173.918919 63
160.335196 64
161.158192 65
182.554945 66
154.324324 67
159.324324 68
158.928571 69
145.810056 70
175.529101 71
158.823529 72
162.432432 73
174.583333 74
170.056497 75
160.771277 76
162.972973 77
155.080214 78
169.176136 79
172.058824 80
177.272727 81
161.250000 82
159.615385 83
168.918919 84
162.297297 85
156.250000 86
158.060109 87
172.939560 88
180.494505 89
164.000000 90
164.798851 91
159.305556 92
152.472527 93
156.929348 94
155.539773 95
181.284153 96
172.554348 97
161.548913 98
143.093923 99
167.977528 100
