#data counter
11979.679803 1
31600.961538 2
11088.709677 3
27228.494624 4
15473.790323 5
25985.508535 6
30718.750000 7
22378.968254 8
23991.820768 9
30681.009957 10
32272.555444 11
22298.414305 12
29343.853821 13
28433.333333 14
37187.500000 15
31729.403409 16
13223.536036 17
19338.461538 18
22698.317308 19
24304.878049 20
13827.083333 21
26410.256410 22
13215.238265 23
21141.141141 24
31141.129032 25
26664.740398 26
24124.503968 27
26469.254032 28
15833.333333 29
17714.646465 30
11291.666667 31
27546.153846 32
16048.850575 33
28399.621212 34
19709.851552 35
11367.816092 36
24612.903226 37
27910.714286 38
18790.246212 39
37620.967742 40
20337.837838 41
24581.349206 42
27864.247312 43
24101.914414 44
10093.582888 45
24048.850575 46
40465.384615 47
25080.645161 48
25481.840463 49
17747.189153 50
6407.019704 51
27250.000000 52
18508.653846 53
35341.748768 54
23357.007576 55
26318.617725 56
30113.445378 57
17395.536984 58
10422.757056 59
25451.680672 60
25540.540541 61
26245.110242 62
29694.444444 63
30996.546346 64
27922.268908 65
34102.564103 66
11319.213732 67
26602.192540 68
10381.155303 69
36642.857143 70
38997.311828 71
30858.193277 72
18592.116725 73
589.488636 74
30903.846154 75
31216.386555 76
36596.153846 77
35368.189103 78
25737.179487 79
10691.287879 80
20235.558712 81
22570.564516 82
28810.344828 83
21876.114082 84
26069.518717 85
34260.312945 86
25029.454023 87
26878.551136 88
11939.516129 89
32127.016129 90
26677.320076 91
11341.397849 92
26710.526316 93
24658.408408 94
6956.908832 95
27158.764368 96
30967.092803 97
35314.728164 98
19147.035256 99
23925.492611 100
