#data counter
140972.222222 1
5000.000000 2
14642.857143 3
436704.545455 4
472980.769231 5
153710.937500 6
271041.666667 7
304583.333333 8
172019.230769 9
357840.909091 10
329330.357143 11
352562.500000 12
8671.875000 13
12840.909091 14
394322.916667 15
315892.857143 16
164807.692308 17
280113.636364 18
629342.105263 19
280000.000000 20
508161.764706 21
145113.636364 22
161071.428571 23
487333.333333 24
148750.000000 25
16785.714286 26
265000.000000 27
23194.444444 28
294843.750000 29
169791.666667 30
406442.307692 31
265562.500000 32
368750.000000 33
549093.750000 34
166250.000000 35
368812.500000 36
683398.437500 37
286911.764706 38
583500.000000 39
445000.000000 40
156041.666667 41
256022.727273 42
296406.250000 43
292750.000000 44
3437.500000 45
296057.692308 46
397008.928571 47
381442.307692 48
150535.714286 49
175583.333333 50
543630.952381 51
491022.727273 52
21071.428571 53
10000.000000 54
440113.636364 55
390769.230769 56
633676.470588 57
564508.928571 58
148812.500000 59
21071.428571 60
422500.000000 61
448333.333333 62
489285.714286 63
158072.916667 64
271250.000000 65
20294.117647 66
308676.470588 67
406442.307692 68
2562.500000 69
531210.937500 70
421473.214286 71
168750.000000 72
278269.230769 73
247692.307692 74
434926.470588 75
251785.714286 76
401000.000000 77
590277.777778 78
392916.666667 79
291083.333333 80
294330.357143 81
480590.277778 82
304843.750000 83
254000.000000 84
156388.888889 85
556500.000000 86
275416.666667 87
455113.636364 88
262421.875000 89
163062.500000 90
412500.000000 91
413085.937500 92
264722.222222 93
159204.545455 94
532008.928571 95
446826.923077 96
508125.000000 97
172187.500000 98
569473.684211 99
166083.333333 100
