#data counter
158 1
166 2
162 3
159 4
165 5
163 6
168 7
165 8
169 9
151 10
157 11
169 12
165 13
157 14
167 15
165 16
164 17
161 18
165 19
166 20
165 21
159 22
162 23
170 24
166 25
163 26
168 27
160 28
172 29
163 30
160 31
162 32
164 33
159 34
161 35
157 36
166 37
162 38
163 39
158 40
164 41
164 42
162 43
173 44
174 45
163 46
159 47
168 48
165 49
166 50
162 51
164 52
166 53
163 54
161 55
150 56
164 57
161 58
161 59
160 60
166 61
163 62
158 63
172 64
167 65
161 66
164 67
167 68
166 69
168 70
159 71
162 72
165 73
155 74
163 75
162 76
157 77
163 78
168 79
170 80
164 81
160 82
169 83
156 84
162 85
157 86
159 87
163 88
163 89
163 90
160 91
167 92
164 93
160 94
167 95
177 96
169 97
165 98
160 99
166 100
