#data counter
2125 1
2525 2
2450 3
2900 4
2025 5
2300 6
2000 7
2500 8
3325 9
3775 10
2500 11
2475 12
2275 13
4450 14
2225 15
2675 16
2625 17
1725 18
1575 19
5000 20
1475 21
3875 22
1450 23
2375 24
2600 25
2000 26
4400 27
2500 28
1825 29
2225 30
2950 31
2250 32
2100 33
3300 34
3600 35
1975 36
2150 37
2125 38
2625 39
1025 40
2550 41
1325 42
2675 43
2050 44
1200 45
3700 46
3125 47
3100 48
1900 49
2250 50
2250 51
3550 52
2775 53
4425 54
2775 55
2175 56
1375 57
2575 58
2200 59
2825 60
2950 61
3975 62
1275 63
2325 64
3200 65
2150 66
3325 67
2775 68
1750 69
1600 70
2725 71
3650 72
2125 73
3100 74
2150 75
2875 76
1800 77
1900 78
2825 79
2275 80
2850 81
1550 82
2000 83
2425 84
2375 85
1125 86
5300 87
2550 88
3125 89
1575 90
3300 91
2325 92
2050 93
3725 94
3125 95
3025 96
4025 97
2725 98
2675 99
1875 100
