#data counter
14 1
13 2
10 3
14 4
10 5
15 6
14 7
14 8
14 9
10 10
16 11
12 12
15 13
8 14
14 15
13 16
16 17
14 18
18 19
13 20
14 21
18 22
22 23
18 24
14 25
13 26
15 27
8 28
9 29
15 30
12 31
16 32
12 33
15 34
13 35
20 36
22 37
14 38
15 39
12 40
14 41
14 42
16 43
19 44
15 45
11 46
10 47
9 48
11 49
12 50
10 51
16 52
15 53
13 54
13 55
18 56
11 57
9 58
12 59
10 60
10 61
9 62
9 63
9 64
16 65
15 66
12 67
15 68
18 69
17 70
11 71
19 72
5 73
15 74
13 75
10 76
6 77
13 78
10 79
14 80
13 81
15 82
13 83
11 84
17 85
12 86
16 87
14 88
10 89
12 90
13 91
13 92
11 93
13 94
14 95
17 96
18 97
23 98
19 99
11 100
