#data counter
25650 1
26425 2
25500 3
27875 4
30550 5
28900 6
25725 7
30125 8
32875 9
31500 10
30550 11
27075 12
28650 13
34075 14
28925 15
25775 16
23875 17
27525 18
23625 19
25975 20
29100 21
24575 22
26675 23
26350 24
25775 25
27875 26
27200 27
29175 28
24600 29
30150 30
26375 31
26775 32
28550 33
30600 34
26325 35
27550 36
25900 37
28650 38
27625 39
26475 40
31725 41
27350 42
26225 43
24850 44
29025 45
24275 46
35025 47
30400 48
31025 49
28950 50
27525 51
27375 52
31275 53
23550 54
28200 55
25425 56
26025 57
25575 58
26525 59
26300 60
26700 61
29650 62
26475 63
27550 64
28325 65
27350 66
25875 67
26600 68
27950 69
26000 70
26625 71
24275 72
29650 73
27725 74
31900 75
31750 76
28875 77
28425 78
26850 79
29475 80
30325 81
27575 82
26750 83
30750 84
22300 85
26050 86
31700 87
24800 88
31600 89
27350 90
23625 91
26675 92
23325 93
26550 94
27850 95
27000 96
23300 97
24525 98
28025 99
27875 100
