#data counter
4411405.405405 1
2696444.444444 2
4168163.841808 3
4868944.444444 4
4716651.785714 5
3468299.851190 6
4082990.331492 7
4998797.814208 8
4848073.204420 9
4848876.404494 10
4419151.069519 11
4724290.994624 12
3833804.054054 13
5651587.837838 14
4383864.864865 15
4847809.139785 16
4006236.486486 17
4461514.423077 18
3242880.434783 19
4090531.767956 20
3893609.550562 21
4648584.971910 22
3706994.382022 23
4557173.763736 24
3390435.082873 25
4382842.857143 26
4891970.588235 27
4161601.351351 28
4092123.655914 29
3062780.539773 30
